> ls -d edu.ru 
[ns.msu.ru]
 edu.ru.                        SOA    ns.informika.ru hostmaster.informika.ru. (3018030303 43200 7200 1468800 172800)
 el                             NS     dns2.zenon.net                
 eldikan                        NS     ns.secondary.net.ua           
 eldikan                        NS     ns2.trifle.net                
 eldikan                        NS     fns1.42.pl                    
 eldikan                        NS     fns2.42.pl                    
 eldikan                        NS     puck.nether.net               
 emoscow                        NS     dns1.yandex.ru                
 emoscow                        NS     dns2.yandex.ru                
 en                             NS     ns.runnet.ru                  
 en                             NS     ns2.runnet.ru                 
 engineer                       NS     dns1.zenon.net                
 engineer                       NS     dns2.zenon.net                
 eo                             A      194.226.214.253
 eo2                            A      85.142.23.92
 eom                            A      185.141.124.18
 eor                            MX     10   mail.eor.edu.ru
 eor                            A      85.142.23.92
 ftp.eor                        A      85.142.22.18
 mail.eor                       A      194.85.37.170
 www.eor                        A      85.142.23.92
 erudit                         NS     ns1.mchost.ru                 
 erudit                         NS     ns2.mchost.ru                 
 erudit                         NS     ns3.mchost.ru                 
 erudit                         NS     ns4.mchost.ru                 
 etc                            NS     ns1.usedns.com                
 etc                            NS     ns2.usedns.com                
 etet                           NS     ns1.netangels.RU              
 etet                           NS     ns2.netangels.RU              
 etet                           NS     ns3.netangels.RU              
 etet                           NS     ns4.netangels.RU              
 ethm                           NS     ns3.nic.ru                    
 ethm                           NS     ns4.nic.ru                    
 ethm                           NS     ns8.nic.ru                    
 etk                            NS     ns1.eomy.net                  
 etk                            NS     ns2.eomy.net                  
 eulaw                          NS     dns1.naunet.ru                
 eulaw                          NS     dns2.naunet.ru                
 evp-school12                   NS     ns1.fastdns.hosting           
 evp-school12                   NS     ns2.fastdns.hosting           
 evp-school12                   NS     ns3.fastdns.hosting           
 evp-school2                    NS     ns1.fastdns.hosting           
 evp-school2                    NS     ns2.fastdns.hosting           
 evp-school2                    NS     ns3.fastdns.hosting           
 evrika                         NS     ns.dcatk.pro                  
 evrika                         NS     ns.svgun.ru                   
 experiment                     NS     dns1.yandex.ru                
 experiment                     NS     dns2.yandex.ru                
 fcior                          MX     10   mail.eor.edu.ru
 fcior                          A      194.226.214.88
 *.fcior                        MX     10   smtp.service.fcior.edu.ru
 adg.fcior                      A      194.226.214.8
 *.adg.fcior                    A      194.226.214.8
 alaniya.fcior                  A      194.226.214.8
 *.alaniya.fcior                A      194.226.214.8
 altay.fcior                    A      194.226.214.8
 *.altay.fcior                  A      194.226.214.8
 arkh.fcior                     A      194.226.214.8
 *.arkh.fcior                   A      194.226.214.8
 bashkir.fcior                  A      194.226.214.8
 *.bashkir.fcior                A      194.226.214.8
 cap.fcior                      A      194.226.214.8
 *.cap.fcior                    A      194.226.214.8
 catalog.fcior                  A      85.142.23.219
 chel.fcior                     A      194.226.214.8
 *.chel.fcior                   A      194.226.214.8
 *.chel.fcior                   MX     10   smtp.service.fcior.edu.ru
 donland.fcior                  A      217.74.42.50
 *.donland.fcior                A      217.74.42.50
 expert.fcior                   A      194.226.214.89
 forum.fcior                    A      194.226.214.10
 ftp.fcior                      A      194.226.214.68
 ftp2.fcior                     A      194.226.214.68
 iclass.fcior                   A      85.142.23.59
 irk.fcior                      A      194.226.214.8
 *.irk.fcior                    A      194.226.214.8
 *.irk.fcior                    MX     10   smtp.service.fcior.edu.ru
 kalin.fcior                    A      194.226.214.8
 *.kalin.fcior                  A      194.226.214.8
 kaluga.fcior                   A      194.226.214.8
 *.kaluga.fcior                 A      194.226.214.8
 kamchatka.fcior                A      194.226.214.8
 *.kamchatka.fcior              A      194.226.214.8
 *.kamchatka.fcior              MX     10   smtp.service.fcior.edu.ru
 kg.fcior                       A      194.226.214.8
 *.kg.fcior                     A      194.226.214.8
 *.kg.fcior                     MX     10   smtp.service.fcior.edu.ru
 khab.fcior                     A      194.226.214.8
 *.khab.fcior                   A      194.226.214.8
 *.khab.fcior                   MX     10   smtp.service.fcior.edu.ru
 khakasia.fcior                 A      194.226.214.8
 *.khakasia.fcior               A      194.226.214.8
 kir.fcior                      A      194.226.214.8
 *.kir.fcior                    A      194.226.214.8
 kmrv.fcior                     A      82.179.12.169
 komi.fcior                     A      194.226.214.8
 *.komi.fcior                   A      194.226.214.8
 krasnodar.fcior                A      212.192.128.33
 krd.fcior                      A      194.226.214.8
 *.krd.fcior                    A      194.226.214.8
 *.krd.fcior                    MX     10   smtp.service.fcior.edu.ru
 kuban.fcior                    A      194.226.214.8
 *.kuban.fcior                  A      194.226.214.8
 *.kuban.fcior                  MX     10   smtp.service.fcior.edu.ru
 list.fcior                     A      194.226.214.8
